"HTid","recordid","OCLC","author","imprint","date","enumcron","title","firstpub","Jgenre"
"nyp.33433074940838",8663855,7315096,"Blackmore, R. D.","London;S. Low, Marston, Searle, and Rivington;1886.",1886,"<blank>","Lorna Doone",1869,"fic"
"nyp.33433076093057",8662109,11081964,"Dickens, Charles,","Philadelphia;Gebbie Pub. Co.;c1895",1895,"v. 15 (Pickwick Papers)","The complete works of Charles Dickens",1837,"fic"
"nyp.33433074968532",8665063,285133,"Du Maurier, George,","Leipzig;Tauchnitz;1894.",1894,"<blank>","Trilby",1895,"fic"
"mdp.39015008191382",479694,10662623,"Hughes, Thomas,","London;Macmillan and co.;1868.",1868,"<blank>","Tom Brown's school days",1857,"fic"
"uiuo.ark:/13960/t8z89r760",8724225,5347317,"Kingsley, Charles,","Cambridge;Macmillan;1855.",1855,"v.2","Westward ho!",1854,"fic"
"uiuo.ark:/13960/t5t72x31s",8724225,5347317,"Kingsley, Charles,","Cambridge;Macmillan;1855.",1855,"v.3","Westward ho!",1854,"fic"
"uiuo.ark:/13960/t1hh71j3k",8724225,5347317,"Kingsley, Charles,","Cambridge;Macmillan;1855.",1855,"v.1","Westward ho!",1854,"fic"
"uva.x001566125",9793611,7890170,"Lytton, Edward Bulwer Lytton,","New-York;J.& J. Harper;Sold by Collins and Hannay;1829.",1829,"<blank>","Pelham, or, The adventures of a gentleman",1828,"fic"
"nyp.33433075900567",8667261,10762402,"Reade, Charles,","Boston;Ticknor and Fields;1856.",1856,"v. 1","It is never too late to mend",1856,"fic"
"nyp.33433075904890",8667261,10762402,"Reade, Charles,","Boston;Ticknor and Fields;1856.",1856,"v. 2","It is never too late to mend",1856,"fic"
"njp.32101067173896",8956165,24361553,"Scott, Walter,","Boston;Houghton, Mifflin and Company;1857",1857,"<blank>","Waverley",1814,"fic"
"mdp.39015004956234",4681479,"<blank>","Stowe, Harriet Beecher,","Boston;John P. Jewett & Co.;Cleveland, Ohio;Jewett, Proctor & Worthington;1852, c1851.;(Boston;Geo. C. Rand & Co.).",1852,"v.1 1852","Uncle Tom's cabin, or, Life among the lowly",1852,"fic"
"mdp.39015063973468",783621,9190652,"Ward, Mary Augusta","London;Smith, Elder & co.;1888.",1888,"v.1","Robert Elsmere",1888,"fic"
"mdp.39015063973450",783621,9190652,"Ward, Mary Augusta","London;Smith, Elder & co.;1888.",1888,"v.2","Robert Elsmere",1888,"fic"
