HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
mdp.39015011414011,781064,174043,PZ3.F238B 2,"Farnol, Jeffery,","Boston;Little, Brown, and company;1911.",1911,<blank>,monograph,<blank>,Fiction,The broad highway,1911,1911,1,fic,y
uc2.ark:/13960/t9x060k0j,781064,174043,PZ3.F238B 2,"Farnol, Jeffery,","Boston;Little, Brown, and company;1911.",1911,<blank>,monograph,<blank>,Fiction,The broad highway,1911,1911,1,fic,
nyp.33433075761134,781064,174043,PZ3.F238B 2,"Farnol, Jeffery,","Boston;Little, Brown, and company;1911.",1911,<blank>,monograph,<blank>,Fiction,The broad highway,1911,1911,1,fic,
nyp.33433075761506,781064,174043,PZ3.F238B 2,"Farnol, Jeffery,","Boston;Little, Brown, and company;1911.",1911,<blank>,monograph,<blank>,Fiction,The broad highway,1911,1911,1,fic,
mdp.39015063943115,783851,2108677,<blank>,"Kester, Vaughan,",New York;Grosset & Dunlap;c1911,1911,<blank>,monograph,<blank>,Fiction,The prodigal judge,1911,1911,2,fic,
uc2.ark:/13960/t8x92293j,783851,2108677,<blank>,"Kester, Vaughan,",New York;Grosset & Dunlap;c1911,1911,<blank>,monograph,<blank>,Fiction,The prodigal judge,1911,1911,2,fic,
uc1.b3579113,6678330,284963,PZ3.K489P,"Kester, Vaughan,",Indianapolis;The Bobbs-Merrill Company;c1911,1911,<blank>,monograph,<blank>,Fiction,The prodigal judge,1911,1911,2,fic,y
nyp.33433076088883,6678330,284963,PZ3.K489P,"Kester, Vaughan,",Indianapolis;The Bobbs-Merrill Company;c1911,1911,<blank>,monograph,<blank>,Fiction,The prodigal judge,1911,1911,2,fic,
nc01.ark:/13960/t08w3f49w,6678330,284963,PZ3.K489P,"Kester, Vaughan,",Indianapolis;The Bobbs-Merrill Company;c1911,1911,<blank>,monograph,<blank>,Fiction,The prodigal judge,1911,1911,2,fic,
uc2.ark:/13960/t1jh3f35g,6678330,284963,PZ3.K489P,"Kester, Vaughan,",Indianapolis;The Bobbs-Merrill Company;c1911,1911,<blank>,monograph,<blank>,Fiction,The prodigal judge,1911,1911,2,fic,
mdp.39015004283514,1189055,1220257,PZ3.W9324Wi,"Wright, Harold Bell,",Chicago;The Book supply company;1911,1911,<blank>,monograph,<blank>,Not fiction,The winning of Barbara Worth,1911,1911,3,fic,y
nyp.33433074797402,1189055,1220257,PZ3.W9324Wi,"Wright, Harold Bell,",Chicago;The Book supply company;1911,1911,<blank>,monograph,<blank>,Not fiction,The winning of Barbara Worth,1911,1911,3,fic,
uc2.ark:/13960/t6tx36f8h,1189055,1220257,PZ3.W9324Wi,"Wright, Harold Bell,",Chicago;The Book supply company;1911,1911,<blank>,monograph,<blank>,Not fiction,The winning of Barbara Worth,1911,1911,3,fic,
njp.32101021588114,8886593,1319290,<blank>,"Wright, Harold Bell,",New York;A. L. Burt company;1911,1911,<blank>,monograph,<blank>,Not fiction,The winning of Barbara Worth,1911,1911,3,fic,
mdp.39015063550183,449531,756606,PZ3.H2459Q,"Harrison, Henry Sydnor,",Boston;New York;Houghton Mifflin company;1911.,1911,<blank>,monograph,<blank>,Fiction,Queed,1911,1911,4,fic,y
uc2.ark:/13960/t5q81574z,449531,756606,PZ3.H2459Q,"Harrison, Henry Sydnor,",Boston;New York;Houghton Mifflin company;1911.,1911,<blank>,monograph,<blank>,Fiction,Queed,1911,1911,4,fic,
nyp.33433076088065,449531,756606,PZ3.H2459Q,"Harrison, Henry Sydnor,",Boston;New York;Houghton Mifflin company;1911.,1911,<blank>,monograph,<blank>,Fiction,Queed,1911,1911,4,fic,
uc2.ark:/13960/t48p5wh2m,449531,756606,PZ3.H2459Q,"Harrison, Henry Sydnor,",Boston;New York;Houghton Mifflin company;1911.,1911,<blank>,monograph,<blank>,Fiction,Queed,1911,1911,4,fic,
uc1.b4103059,6155334,288320,PZ3.P8307H,"Stratton-Porter, Gene,","Garden City, N.Y.;Doubleday, Page & company;1911.",1911,<blank>,monograph,<blank>,Fiction,The harvester,1911,1911,5,fic,y
nyp.33433075873640,6155334,288320,PZ3.P8307H,"Stratton-Porter, Gene,","Garden City, N.Y.;Doubleday, Page & company;1911.",1911,<blank>,monograph,<blank>,Fiction,The harvester,1911,1911,5,fic,
uc2.ark:/13960/t5n874k55,7674303,1305381,<blank>,"Stratton-Porter, Gene,",New York;Grosset & Dunlap;1911,1911,<blank>,monograph,<blank>,Not fiction,The harvester,1911,1911,5,fic,
mdp.39015024242755,781581,1978466,PZ3.P8307H 2,"Stratton-Porter, Gene,","Garden City, New York;Doubleday, Page & company;1912.",1912,<blank>,monograph,<blank>,Fiction,The harvester,1911,1911,5,fic,
nnc1.cu58330054,8434198,8086254,<blank>,"Stratton-Porter, Gene,",Garden City;Doubleday;1913.,1913,<blank>,monograph,<blank>,Not fiction,The harvester,1911,1911,5,fic,
mdp.39015004288786,118008,271600,PZ3.D371I,"Deland, Margaret,",New York;London;Harper & Brothers;1911,1911,<blank>,monograph,<blank>,Fiction,The iron woman,1911,1911,6,fic,y
uc1.b4104353,118008,271600,PZ3.D371I,"Deland, Margaret,",New York;London;Harper & Brothers;1911,1911,<blank>,monograph,<blank>,Fiction,The iron woman,1911,1911,6,fic,
nyp.33433074811641,118008,271600,PZ3.D371I,"Deland, Margaret,",New York;London;Harper & Brothers;1911,1911,<blank>,monograph,<blank>,Fiction,The iron woman,1911,1911,6,fic,
uc2.ark:/13960/fk5q81518x,118008,271600,PZ3.D371I,"Deland, Margaret,",New York;London;Harper & Brothers;1911,1911,<blank>,monograph,<blank>,Fiction,The iron woman,1911,1911,6,fic,
mdp.39015063920139,781852,274485,PZ3.J646Lo,"Johnston, Mary,",Boston;New York;Houghton Mifflin company;1911.,1911,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",Fiction,The long roll,1911,1911,7,fic,y
nyp.33433076071970,781852,274485,PZ3.J646Lo,"Johnston, Mary,",Boston;New York;Houghton Mifflin company;1911.,1911,Copy 2,monograph,"History;Fiction;Civil War, 1861-1865;United States",Fiction,The long roll,1911,1911,7,fic,
nyp.33433081638326,781852,274485,PZ3.J646Lo,"Johnston, Mary,",Boston;New York;Houghton Mifflin company;1911.,1911,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",Fiction,The long roll,1911,1911,7,fic,
uc2.ark:/13960/fk6nz8120k,781852,274485,PZ3.J646Lo,"Johnston, Mary,",Boston;New York;Houghton Mifflin company;1911.,1911,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",Fiction,The long roll,1911,1911,7,fic,
uc1.$b807274,7939341,30612223,PS2142.L6 1911,"Johnston, Mary,",Boston;New York;Houghton Mifflin Company;1911;(Cambridge;The Riverside Press),1911,<blank>,monograph,"History;Fiction;Civil War, 1861-1865;United States",Fiction,The long roll,1911,1911,7,fic,
mdp.39015042474208,1375117,6688398,PS3501.B222M65,"Abbott, Eleanor Hallowell,",New York;Century;1910.,1910,<blank>,monograph,<blank>,Fiction,Molly make-believe,1910,1911,8,fic,
nyp.33433082175872,1375117,6688398,PS3501.B222M65,"Abbott, Eleanor Hallowell,",New York;Century;1910.,1910,<blank>,monograph,<blank>,Fiction,Molly make-believe,1910,1911,8,fic,y
uc2.ark:/13960/t8nc5ts38,6501204,276625,<blank>,"Abbott, Eleanor Hallowell,",Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Not fiction,Molly make-believe,1910,1911,8,fic,
mdp.39015063517281,242308,1854749,<blank>,"Abbott, Eleanor Hallowell,",New York;The Century co.;1911.,1911,<blank>,monograph,<blank>,Fiction,Molly Make-Believe,1910,1911,8,fic,
nyp.33433082176003,242308,1854749,<blank>,"Abbott, Eleanor Hallowell,",New York;The Century co.;1911.,1911,<blank>,monograph,<blank>,Fiction,Molly Make-Believe,1910,1911,8,fic,
uva.x004256219,9776139,54783277,PZ3.A1324M3,"Abbott, Eleanor Hallowell,",New York;The Century co.;1913.,1913,<blank>,monograph,<blank>,Not fiction,Molly Make-Believe,1910,1911,8,fic,
mdp.39015005913168,281955,364467,<blank>,"Barclay, Florence L.",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1911,9,fic,
nyp.33433074932256,281955,364467,<blank>,"Barclay, Florence L.",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1911,9,fic,
uc2.ark:/13960/t7br8r97z,7694069,651717,PZ3.B2352Ro,"Barclay, Florence L.",New York;Grosset & Dunlap;c1910,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1911,9,fic,
nc01.ark:/13960/t6d22rg9b,10939660,50931853,PR6003.A66R6 1910,"Barclay, Florence L.",New York;G.P. Putnam's Sons;Knickerbocker Press;1910.,1910,<blank>,monograph,<blank>,Fiction,The rosary,1910,1911,9,fic,y
njp.32101064787102,8921397,6525203,<blank>,"Barclay, Florence L.",New York;London;G. P. Putnam's sons;1911 [c1909,1911,<blank>,monograph,<blank>,Fiction,The rosary,1910,1911,9,fic,
mdp.39015012332626,778808,1029304,PZ3.C355C1,"Chambers, Robert W.",New York and;London;D. Appleton and Company;1911.,1911,<blank>,monograph,<blank>,Fiction,The Common law,1911,1911,10,fic,y
uc1.b3322479,7915292,1951220,<blank>,"Chambers, Robert W.",New York;Grosset & Dunlap;1911].,1911,<blank>,monograph,<blank>,Fiction,The common law,1911,1911,10,fic,
nyp.33433074809256,7915292,1951220,<blank>,"Chambers, Robert W.",New York;Grosset & Dunlap;1911].,1911,<blank>,monograph,<blank>,Fiction,The common law,1911,1911,10,fic,
uc2.ark:/13960/t3804zn8k,7915292,1951220,<blank>,"Chambers, Robert W.",New York;Grosset & Dunlap;1911].,1911,<blank>,monograph,<blank>,Fiction,The common law,1911,1911,10,fic,
