HTid,recordid,OCLC,LOCnum,author,imprint,date,enumcron,materialtype,subjects,genres,title,firstpub,Hackettlist,NumInList,Jgenre,Present
uc2.ark:/13960/t22b8vz7q,9261014,15096075,<blank>,"Maclaren, Ian,","New York;Dodd, Mead and Co;c1894",1894,<blank>,,<blank>,Not fiction,Beside the bonnie brier bush,1894,1895,1,fic,
mdp.39015006977899,164883,1937066,PZ3.D892T2,"Du Maurier, George,",New York;Harper & brothers;1894.,1894,<blank>,,"Quartier latin (Paris, France)",Fiction,Trilby,1894,1895,2,fic,
uc2.ark:/13960/t7pn8xx37,7649666,7114268,PS2927.A7 1899,"Stockton, Frank Richard,",New York;C. Scribner's Sons;1895.,1895,<blank>,,<blank>,Fiction,The adventures of Captain Horn,1895,1895,3,fic,y
yale.39002053276151,1595622,2304140,CB417.N8,"Nordau, Max Simon,",New York;D. Appleton and company;1895.,1895,<blank>,,Europe;Intellectual life;Comparative literature;Degeneration,Not fiction,Degeneration,1895,1895,9,non,y
uc1.$b405094,1786762,1215693,<blank>,"Maartens, Maarten,",New York;Harper & brothers;1895.,1895,<blank>,,<blank>,Unknown;biog?,My Lady Nobody;,1895,1895,10,fic,y
uc1.b3326082,7922851,9156593,<blank>,"Smith, Francis Hopkinson,",New York;Grosset & Dunlap;1896.,1896,<blank>,,<blank>,Fiction,Tom Grogan,1896,1896,1,fic,
uc2.ark:/13960/t9z030k35,7654203,7931938,<blank>,"Burnett, Frances Hodgson,",New York;Collier;c1896.,1896,<blank>,,<blank>,Not fiction,A lady of quality,1896,1896,2,fic,
uc2.ark:/13960/t8cf9s57f,7695421,156781019,<blank>,"Parker, Gilbert,",London;Methuen;1898.,1898,<blank>,,"United States;French and Indian War, 1754-1763;Fiction;History",Fiction,The seats of the mighty,1896,1896,3,fic,
nyp.33433076056922,8660396,22881211,<blank>,"Phelps, Elizabeth Stuart,","Boston;New York;Houghton, Mifflin and company;1897.",1897,<blank>,,American fiction,Fiction,A singular life,1895,1896,4,fic,y
mdp.39015065437900,392310,3544872,PZ3.F873D,"Frederic, Harold,",Chicago;Stone & Kimball;1896.,1896,<blank>,,<blank>,Fiction,The damnation of Theron Ware,1896,1896,5,fic,y
nyp.33433074816681,8660759,6464663,<blank>,"Bangs, John Kendrick,",New York;London;Harper & brothers;1899.,1899,<blank>,,<blank>,Not fiction,A house-boat on the Styx,1896,1896,6,fic,
uc2.ark:/13960/t2h70b38r,6131602,1854295,<blank>,"Maclaren, Ian,","New York;Dodd, Mead;1896.",1896,<blank>,,<blank>,Not fiction,Kate Carnegie,1896,1896,7,fic,y
uva.x000208724,9794402,1814073,<blank>,"Crane, Stephen,",New York;D. Appleton and Company;1914.,1914,<blank>,,"History;Fiction;Civil War, 1861-1865;United States",Fiction,The red badge of courage;,1895,1896,8,fic,y
