year,author,title
1900,"Johnston, Mary",To Have and To Hold
1900,"Cholmondeley, Mary",Red Pottage
1900,"Grant, Robert",Unleavened Bread
1900,"Allen, James Lane",The Reign of Law
1900,"Bacheller, Irving",Eben Holden
1900,"Ford, Paul Leicester",Janice Meredith
1900,"Goss, Charles Frederic",The Redemption of David Corson
1900,"Churchill, Winston",Richard Carvel
1900,"Major, Charles",When Knighthood Was in Flower
1900,"Thompson, Maurice",Alice of Old Vincennes
1901,"Churchill, Winston",The Crisis
1901,"Thompson, Maurice",Alice of Old Vincennes
1901,"Runkle, Bertha",The Helmet of Navarre
1901,"Parker, Gilbert",The Right of Way
1901,"Bacheller, Irving",Eben Holden
1901,"Glyn, Elinor",The Visits of Elizabeth
1901,"MacGrath, Harold",The Puppet Crown
1901,"Hewlett, Maurice",Richard Yea-and-Nay
1901,"McCutcheon, George Barr",Graustark
1901,"Bacheller, Irving",D'ri and I
1902,"Wister, Owen",The Virginian
1902,"Hegan, Alice Caldwell",Mrs. Wiggs of the Cabbage Patch
1902,"Major, Charles",Dorothy Vernon of Haddon Hall
1902,"Hough, Emerson",The Mississippi Bubble
1902,"Johnston, Mary",Audrey
1902,"Parker, Gilbert",The Right of Way
1902,"Doyle, A. Conan",The Hound of the Baskervilles
1902,"Tarkington, Booth",The Two Vanrevels
1902,"van Dyke, Henry",The Blue Flower
1902,"Malet, Lucas",Sir Richard Calmady
1903,"Ward, Mary Augusta",Lady Rose's Daughter
1903,"Page, Thomas Nelson",Gordon Keith
1903,"Norris, Frank",The Pit
1903,"Rice, Alice Hegan",Lovey Mary
1903,"Wister, Owen",The Virginian
1903,"Rice, Alice Hegan",Mrs. Wiggs of the Cabbage Patch
1903,"Allen, James Lane",The Mettle of the Pasture
1903,"Lorimer, George Horace",Letters of a Self-Made Merchant to His Son
1903,"Dixon, Thomas Jr.",The One Woman
1903,"Fox, John Jr.",The Little Shepherd of Kingdom Come
1904,"Churchill, Winston",The Crossing
1904,"Glasgow, Ellen",The Deliverance
1904,"Thurston, Katherine Cecil",The Masquerader
1904,"Michelson, Miriam",In the Bishop's Carriage
1904,"Johnston, Mary",Sir Mortimer
1904,"McCutcheon, George Barr",Beverly of Graustark
1904,"Fox, John Jr.",The Little Shepherd of Kingdom Come
1904,"Wiggin, Kate Douglas",Rebecca of Sunnybrook Farm
1904,"Harland, Henry",My Friend Prospero
1904,"White, Stewart Edward",The Silent Places
1905,"Ward, Mary Augusta",The Marriage of William Ashe
1905,"Rice, Alice Hegan",Sandy
1905,"Hichens, Robert",The Garden of Allah
1905,"Dixon, Thomas Jr.",The Clansman
1905,"McCutcheon, George Barr",Nedra
1905,"Thurston, Katherine Cecil",The Gambler
1905,"Thurston, Katherine Cecil",The Masquerader
1905,"Wharton, Edith",The House of Mirth
1905,"Williamson, C. N. and A. M.",The Princess Passes
1905,"Wiggin, Kate Douglas",Rose o' the River
1906,"Churchill, Winston",Coniston
1906,"Wister, Owen",Lady Baltimore
1906,"Chambers, Robert W.",The Fighting Chance
1906,"Nicholson, Meredith",The House of a Thousand Candles
1906,"McCutcheon, George Barr",Jane Cable
1906,"Sinclair, Upton",The Jungle
1906,"Deland, Margaret",The Awakening of Helena Ritchie
1906,"Beach, Rex",The Spoilers
1906,"Wharton, Edith",The House of Mirth
1906,"Glasgow, Ellen",The Wheel of Life
1907,"Little, Frances",The Lady of the Decoration
1907,"Parker, Gilbert",The Weavers
1907,"Nicholson, Meredith",The Port of Missing Men
1907,"Burnett, Frances Hodgson",The Shuttle
1907,"Vance, Louis J.",The Brass Bowl
1907,"Rives, Hallie Erminie",Satan Sanderson
1907,"McCutcheon, George Barr",The Daughter of Anderson Crow
1907,"Chambers, Robert W.",The Younger Set
1907,"Connor, Ralph",The Doctor
1907,"MacGrath, Harold",Half a Rogue
1908,"Churchill, Winston",Mr. Crewe's Career
1908,"Beach, Rex",The Barrier
1908,"Fox, John Jr.",The Trail of the Lonesome Pine
1908,"MacGrath, Harold",The Lure of the Mask
1908,"Burnett, Frances Hodgson",The Shuttle
1908,"Smith, F. Hopkinson",Peter
1908,"Johnston, Mary",Lewis Rand
1908,"Vance, Louis J.",The Black Bag
1908,"McCutcheon, George Barr",The Man from Brodney's
1908,"Parker, Gilbert",The Weavers
1909,"King, Basil",The Inner Shrine
1909,"Lane, Elinor Macartney",Katrine
