doc1	auth1	title1	doc2	auth2	title2	authmatch	titlematch	overlap	groundtruth	hasworks	cossim
njp.32101013150329	brown, charles brockden	Arthur Mervyn; or, Memoirs of the year 1793	njp.32101068138617	brown, charles brockden	Arthur Mervyn; or, Memoirs of the year 1793	1.0	1.0	35.1780342963	1	0	-4.44089209850063e-16
uiuo.ark+=13960=t03x8mz6z	finch, emily	The last days of Mary Stuart	uiuo.ark+=13960=t6zw1tg53	finch, emily	The last days of Mary Stuart	1.0	1.0	21.6430071208	1	0	-4.44089209850063e-16
mdp.39015062453124	deshpande, shashi	Collected stories	mdp.39015062453132	deshpande, shashi	Collected stories	1.0	1.0	6.716594773500001	1	0	-2.2204460492503099e-16
njp.32101076058054	fielding, henry	Amelia	njp.32101076058062	fielding, henry	Amelia	1.0	1.0	7.424761761799999	1	0	-2.2204460492503099e-16
uc1.32106006132101	musil, robert	The man without qualities;	uc1.32106006132093	musil, robert	The man without qualities;	1.0	1.0	18.2151787365	1	0	-2.2204460492503099e-16
uc1.32106006132101	musil, robert	The man without qualities;	uc1.32106005851107	musil, robert	The man without qualities;	1.0	1.0	18.2151787365	1	0	-2.2204460492503099e-16
uc1.32106005851107	musil, robert	The man without qualities;	uc1.32106006132093	musil, robert	The man without qualities;	1.0	1.0	18.2151787365	1	0	-2.2204460492503099e-16
njp.32101063693798	miss pardoe, (julia)	The rival beauties : a novel	njp.32101063693764	miss pardoe, (julia)	The rival beauties : a novel	1.0	1.0	18.385909624700002	1	0	-2.2204460492503099e-16
njp.32101063693764	miss pardoe, (julia)	The rival beauties : a novel	njp.32101063693772	miss pardoe, (julia)	The rival beauties : a novel	1.0	1.0	18.385909624700002	1	0	-2.2204460492503099e-16
uiuo.ark+=13960=t59c78h4c	coulton	My eldest brother	uiuo.ark+=13960=t8z89k24q	coulton	My eldest brother	1.0	1.0	18.4548647944	1	0	-2.2204460492503099e-16
uc1.b3827557	fielding, henry	The history of Tom Jones, a foundling	uc1.b3827559	fielding, henry	The history of Tom Jones, a foundling	1.0	1.0	23.778522325500003	1	0	-2.2204460492503099e-16
uc1.b3324321	cuthbertson, catherine	Santo Sebastiano; or, The young protector	uc1.b3324322	cuthbertson, catherine	Santo Sebastiano; or, The young protector	1.0	1.0	31.7349458302	1	0	-2.2204460492503099e-16
hvd.hwjqra	uncle, philip	Uncle Philip's conversations with the children about the wha	hvd.hwjqry	uncle, philip	Uncle Philip's conversations with the children about the wha	1.0	1.0	66.5075094729	1	0	-2.2204460492503099e-16
mdp.39015049829008	[ware, william]	Zenobia: or, The fall of Palmyra. An historical romance. In 	mdp.39015011429837	[ware, william]	Zenobia: or, The fall of Palmyra. An historical romance. In 	1.0	1.0	105.97650459649999	1	0	-2.2204460492503099e-16
uc1.b3325753	semple, robert	Charles Ellis, or, The friends : a novel, comprising the inc	uc1.b3325752	semple, robert	Charles Ellis, or, The friends : a novel, comprising the inc	1.0	1.0	116.9480229797	1	0	-2.2204460492503099e-16
mdp.39076006765130	lawrence, d. h. (david he	Kangaroo	mdp.49015000986753	lawrence, d. h. (david he	Kangaroo	1.0	1.0	8.464635940700001	1	0	-2.2204460492503099e-16
uva.x030576603	fielding, henry	Works	uva.x000897134	fielding, henry	Works	1.0	1.0	2.7725887222	1	1	-2.2204460492503099e-16
uva.x030576604	fielding, henry	Works	uva.x030576616	fielding, henry	Works	1.0	1.0	2.7725887222	1	1	-2.2204460492503099e-16
uva.x030576603	fielding, henry	Works	uva.x030576616	fielding, henry	Works	1.0	1.0	2.7725887222	1	1	-2.2204460492503099e-16
uva.x030576604	fielding, henry	Works	uva.x000897134	fielding, henry	Works	1.0	1.0	2.7725887222	1	1	-2.2204460492503099e-16
uva.x030576603	fielding, henry	Works	uva.x030576604	fielding, henry	Works	1.0	1.0	2.7725887222	1	1	-2.2204460492503099e-16
nyp.33433076086994	pope, alexander	The works of Alexander Pope, esq. with notes and illustratio	nyp.33433076087018	pope, alexander	The works of Alexander Pope, esq. with notes and illustratio	1.0	1.0	137.3045671673	1	1	-2.2204460492503099e-16
nyp.33433076086994	pope, alexander	The works of Alexander Pope, esq. with notes and illustratio	nyp.33433076087000	pope, alexander	The works of Alexander Pope, esq. with notes and illustratio	1.0	1.0	137.3045671673	1	1	-2.2204460492503099e-16
mdp.39015001793689	poe, edgar allan	The works of Edgar Allan Poe	mdp.39015001793754	poe, edgar allan	The works of Edgar Allan Poe	1.0	1.0	24.821356296100003	1	1	-2.2204460492503099e-16
uc1.32106009753481	fielding, henry	Novels	uc1.32106006463092	fielding, henry	Novels	1.0	1.0	3.2188758249	1	1	0.0
uc1.32106009753481	fielding, henry	Novels	uc1.32106019479721	fielding, henry	Novels	1.0	1.0	3.2188758249	1	1	0.0
uc1.32106009753481	fielding, henry	Novels	uc1.32106006463084	fielding, henry	Novels	1.0	1.0	3.2188758249	1	1	0.0
uc1.32106009753481	fielding, henry	Novels	uc1.32106019367298	fielding, henry	Novels	1.0	1.0	3.2188758249	0	1	0.0
uc1.32106006463092	fielding, henry	Novels	uc1.32106019479721	fielding, henry	Novels	1.0	1.0	3.2188758249	0	1	0.0
uc1.32106006463084	fielding, henry	Novels	uc1.32106019367298	fielding, henry	Novels	1.0	1.0	3.2188758249	0	1	0.0
uc1.32106019479721	fielding, henry	Novels	uc1.32106019367298	fielding, henry	Novels	1.0	1.0	3.2188758249	0	1	0.0
uc1.32106006463092	fielding, henry	Novels	uc1.32106019367298	fielding, henry	Novels	1.0	1.0	3.2188758249	0	1	0.0
uc1.32106006463084	fielding, henry	Novels	uc1.32106019479721	fielding, henry	Novels	1.0	1.0	3.2188758249	0	1	0.0
uc1.32106006463092	fielding, henry	Novels	uc1.32106006463084	fielding, henry	Novels	1.0	1.0	3.2188758249	0	1	0.0
wu.89046689212	voltaire	Romances	wu.89046689238	voltaire	Romances	1.0	1.0	4.7957905456	0	0	0.0
mdp.49015001323824	asimov, isaac	The complete stories	mdp.49015002164094	asimov, isaac	The complete stories	1.0	1.0	5.877735781799999	1	0	0.0
mdp.39076006602473	fielding, henry	Amelia	mdp.39076006602481	fielding, henry	Amelia	1.0	1.0	7.424761761799999	1	0	0.0
nnc1.0315301214	fielding, henry	Amelia	nnc1.0315301230	fielding, henry	Amelia	1.0	1.0	7.424761761799999	1	0	0.0
coo.31924013572650	williamson, c. n. (charle	The heather moon	coo.31924065000865	williamson, c. n. (charle	The heather moon	1.0	1.0	13.6936716835	1	0	0.0
uiuo.ark+=13960=t6vx0qc42	dering, edward henage	Freville Chase	mdp.39015063546157	dering, edward henage	Freville Chase	1.0	1.0	16.9754285911	1	0	0.0
uiuo.ark+=13960=t31267f8g	dering, edward henage	Freville Chase	uiuo.ark+=13960=t6vx0qc42	dering, edward henage	Freville Chase	1.0	1.0	16.9754285911	1	0	0.0
uiuo.ark+=13960=t31267f8g	dering, edward henage	Freville Chase	mdp.39015063546157	dering, edward henage	Freville Chase	1.0	1.0	16.9754285911	1	0	0.0
uc2.ark+=13960=t21c2719w	wylde, henry	Severed ties	uc2.ark+=13960=t0ft8sz44	wylde, henry	Severed ties	1.0	1.0	17.411177548	1	0	0.0
uiuo.ark+=13960=t5w671c7p	mortimer, edward	The friar Hildargo	uiuo.ark+=13960=t0vq3h35w	mortimer, edward	The friar Hildargo	1.0	1.0	17.7496877178	1	0	0.0
uiuo.ark+=13960=t4th92p92	murray, hamilton	L??onie Vermont	uiuo.ark+=13960=t2v418x46	murray, hamilton	L??onie Vermont	1.0	1.0	18.2728455494	1	0	0.0
uiuo.ark+=13960=t4th92p92	murray, hamilton	L??onie Vermont	uiuo.ark+=13960=t39z9qd9w	murray, hamilton	L??onie Vermont	1.0	1.0	18.2728455494	1	0	0.0
uiuo.ark+=13960=t39z9qd9w	murray, hamilton	L??onie Vermont	uiuo.ark+=13960=t2v418x46	murray, hamilton	L??onie Vermont	1.0	1.0	18.2728455494	1	0	0.0
uiuo.ark+=13960=t3pv71644	marshall, frederick	Claire Brandon, a novel	uiuo.ark+=13960=t1rf68d86	marshall, frederick	Claire Brandon, a novel	1.0	1.0	19.3944897249	1	0	0.0
nyp.33433074913678	fielding, henry	The history of Tom Jones, a foundling	nyp.33433074913660	fielding, henry	The history of Tom Jones, a foundling	1.0	1.0	23.778522325500003	1	0	0.0
mdp.39015078569491	williams, william	The journal of Llewellin Penrose, a seaman	uiuo.ark+=13960=t8kd2885g	williams, william	The journal of Llewellin Penrose, a seaman	1.0	1.0	35.4005857763	1	0	0.0
mdp.39015063973583	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	mdp.39015063973575	ware, william	Probus: or, Rome in the third century. In letters of Lucius 	1.0	1.0	103.5760672337	1	0	0.0
nyp.33433076061047	ware, william	Zenobia; or, The fall of Palmyra.  An historical romance.  I	nyp.33433076061039	ware, william	Zenobia; or, The fall of Palmyra.  An historical romance.  I	1.0	1.0	105.97650459649999	1	0	0.0
nyp.33433056814282	thackeray, william makepe	Burlesques	nyp.33433056814274	thackeray, william makepe	Burlesques	1.0	1.0	8.644354337000001	1	0	0.0
uiuo.ark+=13960=t4kk9p251	de fonblanque, albany	Jedwood justice	uiuo.ark+=13960=t1pg2251d	de fonblanque, albany	Jedwood justice	1.0	1.0	16.4140845262	1	0	0.0
umn.31951001136540i	bjørnson, bjørnstjerne	The novels of Björnstjerne Björnson	nnc1.0036683434	bjørnson, bjørnstjerne	The novels of Björnstjerne Björnson	1.0	1.0	20.3474351593	1	1	0.0
nnc1.0036683426	bjørnson, bjørnstjerne	The novels of Björnstjerne Björnson	nnc1.0036683434	bjørnson, bjørnstjerne	The novels of Björnstjerne Björnson	1.0	1.0	20.3474351593	1	1	0.0
mdp.39015063537347	fraser, james baillie	"The Persian adventurer: being the sequel of ""The Kuzzilbash"""	mdp.39015063537339	fraser, james baillie	"The Persian adventurer: being the sequel of ""The Kuzzilbash"""	1.0	1.0	40.829523232199996	1	0	0.0
