"alias"	"realname"
"Sue, Eug??ne"	"Sue, Eugène"
"Thackeray, Wiiliam Makepeace"	"Thackeray, William Makepeace"
"Gautier, Théophile"	"Gautier, Théophile"
"Bj??rnson, Bj??rnstjerne"	"Bjørnson, Bjørnstjerne"
"Bront??, Charlotte"	"Brontë, Charlotte"
"Douglas, Amanda M"	"Douglas, Amanda Minnie"
"De La Roche, Mazo"	"De la Roche, Mazo"
"Sewel, Elizabeth Missing"	"Sewell, Elizabeth Missing"
"Fielding, Henry<"	"Fielding, Henry"
"Jeffries, Richard"	"Jefferies, Richard"
"Gide, André"	"Gide, André"
"Balzac, Honoré de"	"Balzac, Honoré de"
"Balzac, Honore   de"	"Balzac, Honoré de"
"Bronte  , Charlotte"	"Brontë, Charlotte"
"Abbot, Jacob"	"Abbott, Jacob"
"Fullerton, Georgiana"	"Fullerton, Georgiana, Lady"
"Zola, Emile"	"Zola, Émile"
"Howell, William Dean"	"Howells, William Dean"
"Gautier, Th??ophile"	"Gautier, Théophile"
"Morrow, Honoré"	"Morrow, Honoré"
"Opie, Amelia (Anderson)"	"Opie, Amelia Alderson"
"Blasco Ib????ez, Vicente"	"Blasco Ibáñez, Vicente"
"Benét, Stephen Vincent"	"Benét, Stephen Vincent"
"Sagan, Françoise"	"Sagan, Françoise"
"Simemon, Georges"	"Simenon, Georges"
"Lagerlöf, Selma"	"Lagerlöf, Selma"
"Balzac, Honere?_ de"	"Balzac, Honoré de"
"Bailey, Henry Christopher"	"Bailey, H. C. (Henry Christopher)"
"Robinson, Frederick William"	"Robinson, F. W. (Frederick William)"
"Bront,͡ Charlotte"	"Brontë, Charlotte"
"Green, Graham"	"Greene, Graham"
"Rabelais, François"	"Rabelais, François"
"Balzac, Honoré de"	"Balzac, Honoré de"
"Brontë, Anne"	"Brontë, Anne"
"Le Sage, Alain Ren??"	"Le Sage, Alain René"
"De Morgan, William"	"De Morgan, William Frend"
"Sue, Eugène"	"Sue, Eugène"
"Weymann, Stanley John"	"Weyman, Stanley John"
"Braddon, Mary Elizabeth"	"Braddon, M. E. (Mary Elizabeth)"
"Zola, ??mile"	"Zola, Émile"
"Blasco Ibáñez, Vicente"	"Blasco Ibáñez, Vicente"
"Zola, Émile"	"Zola, Émile"
"Le Sage, Alain René"	"Le Sage, Alain René"
"Nin, Anaïs"	"Nin, Anaïs"
"Atherton, Gertude Franklin Horn"	"Atherton, Gertrude Franklin Horn"
"Brontë, Charlotte"	"Brontë, Charlotte"
"James, G. P. R., George Payne Rainsford"	"James, G. P. R. (George Payne Rainsford)"
"Tourg??e, Albion Winegar"	"Tourgée, Albion Winegar"
"Gogolʹ, Nikolaĭ Vasilʹevich"	"Gogolʹ, Nikolaĭ Vasilʹevich"
"Macdonald, George"	"MacDonald, George"
"Farjeon, Benjamin Leopold"	"Farjeon, B. L. (Benjamin Leopold)"
"Balzac, Honor?? de"	"Balzac, Honoré de"
"Lustig, Arnošt"	"Lustig, Arnošt"
"Williamson, Charles Norris"	"Williamson, C. N. (Charles Norris)"
"Turgenev, Ivan Sergi︠e︡evích"	"Turgenev, Ivan Sergeevich"
"Farmer, Philip José"	"Farmer, Philip José"
"Lagerl?_f, Selma"	"Lagerlöf, Selma"
"Alger, Horatio, Jr"	"Alger, Horatio"
"Natsume, Sōseki"	"Natsume, Sōseki"
"Mauriac, François"	"Mauriac, François"
"Baron, Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie"	"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie"
"Khammān Khonkhai"	"Khammān Khonkhai"
"Baron, Brougham and Vaux, Henry Brougham"	"Brougham and Vaux, Henry Brougham"
"baron, Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie"	"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie"
"novelist. Greenwood, James"	"Greenwood, James"
"Bj??rnson, Bj??rnstjerne"	"Bjørnson, Bjørnstjerne"
"Bjr??nson, Bj?_rnstjerne"	"Bjørnson, Bjørnstjerne"
"[Thomas, Lida Larrimore (Turner) Mrs.]"	"Thomas, Lida Larrimore (Turner), Mrs"
"Jayakoḍi, Jayasēna"	"Jayakoḍi, Jayasēna"
"the novelist. Greenwood, James"	"Greenwood, James"
"[Matthews, Margaret Bryan, Mrs.,]"	"Matthews, Margaret Bryan Mrs"
"Bjr??nson, Bjr??nstjerne"	"Bjørnson, Bjørnstjerne"
"Villaseñor, Victor"	"Villaseñor, Victor"
"] [Thomas, Lida Larrimore (Turner), Mrs"	"Thomas, Lida Larrimore (Turner), Mrs"
