word,class
see,hard
come,hard
go,hard
came,hard
look,hard
let,hard
looked,hard
went,hard
saw,hard
put,hard
going,hard
get,hard
seen,hard
turned,hard
stood,hard
got,hard
looking,hard
work,hard
gone,hard
keep,hard
open,hard
sat,hard
coming,hard
lay,hard
turn,hard
kept,hard
close,hard
opened,hard
ground,hard
walked,hard
stand,hard
walk,hard
seeing,hard
lie,hard
show,hard
standing,hard
turning,hard
looks,hard
broken,hard
comes,hard
run,hard
wait,hard
sit,hard
sitting,hard
ran,hard
caught,hard
waiting,hard
getting,hard
moved,hard
watch,hard
grew,hard
closed,hard
break,hard
broke,hard
showed,hard
touch,hard
watched,hard
bent,hard
touched,hard
lying,hard
works,hard
putting,hard
hung,hard
walking,hard
goes,hard
waited,hard
move,hard
keeping,hard
watching,hard
dropped,hard
opening,hard
running,hard
grown,hard
hurt,hard
eat,hard
shown,hard
catch,hard
growing,hard
drop,hard
lifted,hard
grow,hard
leaning,hard
lies,hard
working,hard
breaking,hard
moving,hard
worked,hard
flung,hard
pulled,hard
touching,hard
showing,hard
hanging,hard
rolled,hard
hang,hard
stands,hard
swept,hard
sees,hard
knocked,hard
turns,hard
gets,hard
fetch,hard
knock,hard
picked,hard
leaned,hard
walks,hard
crept,hard
letting,hard
pull,hard
bending,hard
glimpse,hard
slipped,hard
slip,hard
pick,hard
closing,hard
jumped,hard
catching,hard
crushed,hard
lift,hard
eating,hard
keeps,hard
shows,hard
dropping,hard
rolling,hard
drops,hard
roll,hard
ate,hard
stooped,hard
lean,hard
lifting,hard
quivering,hard
bend,hard
pulling,hard
puts,hard
smell,hard
runs,hard
sweep,hard
sits,hard
jump,hard
grows,hard
hanged,hard
eaten,hard
leap,hard
knocking,hard
creeping,hard
sweeping,hard
gotten,hard
lain,hard
strolled,hard
crush,hard
leaped,hard
strode,hard
fling,hard
touches,hard
stooping,hard
quivered,hard
shivering,hard
breaks,hard
crack,hard
kick,hard
trip,hard
creep,hard
shiver,hard
picking,hard
swung,hard
stoop,hard
stroll,hard
opens,hard
tap,hard
shivered,hard
flinging,hard
kicked,hard
quiver,hard
swinging,hard
fetched,hard
jumping,hard
watches,hard
hangs,hard
cracked,hard
leaping,hard
crushing,hard
swing,hard
moves,hard
lets,hard
slipping,hard
tapped,hard
waits,hard
leapt,hard
kicking,hard
glimpses,hard
strides,hard
rolls,hard
scratch,hard
strolling,hard
tripped,hard
tapping,hard
slice,hard
grinding,hard
stride,hard
scratched,hard
crawled,hard
crawl,hard
catches,hard
hurts,hard
dropt,hard
cramped,hard
sweeps,hard
crawling,hard
lifts,hard
slips,hard
knocks,hard
cracking,hard
closes,hard
tripping,hard
eats,hard
smelling,hard
bends,hard
scratching,hard
grind,hard
smells,hard
pulls,hard
hurting,hard
leans,hard
fetching,hard
leaps,hard
kicks,hard
tilt,hard
creeps,hard
flings,hard
jumps,hard
slices,hard
cracks,hard
cramp,hard
tilted,hard
picks,hard
trips,hard
stoops,hard
scratches,hard
shivers,hard
taps,hard
tilting,hard
crushes,hard
swings,hard
strolls,hard
quivers,hard
crawls,hard
fetches,hard
sliced,hard
grinds,hard
smelled,hard
tilts,hard
eyes,hard
hand,hard
face,hard
head,hard
hands,hard
eye,hard
arms,hard
lips,hard
arm,hard
feet,hard
hair,hard
blood,hard
foot,hard
ear,hard
mouth,hard
ears,hard
cheek,hard
breast,hard
neck,hard
cheeks,hard
brow,hard
tongue,hard
fingers,hard
shoulder,hard
shoulders,hard
knees,hard
teeth,hard
forehead,hard
nose,hard
legs,hard
throat,hard
finger,hard
lip,hard
limbs,hard
flesh,hard
knee,hard
skin,hard
nerves,hard
beard,hard
chest,hard
leg,hard
waist,hard
chin,hard
bones,hard
lap,hard
veins,hard
heels,hard
elbow,hard
limb,hard
nerve,hard
palm,hard
bone,hard
eyelids,hard
heel,hard
fist,hard
stomach,hard
wrist,hard
thumb,hard
vein,hard
elbows,hard
skeleton,hard
lungs,hard
nostrils,hard
muscles,hard
skull,hard
muscle,hard
palms,hard
toe,hard
toes,hard
jaw,hard
liver,hard
ribs,hard
tooth,hard
wrists,hard
forefinger,hard
ankle,hard
hip,hard
spleen,hard
gorge,hard
ankles,hard
knuckles,hard
bowels,hard
marrow,hard
thigh,hard
sinews,hard
dimples,hard
thumbs,hard
loins,hard
belly,hard
rib,hard
nostril,hard
eyeballs,hard
shins,hard
dimple,hard
eyebrow,hard
scalp,hard
shin,hard
eyelid,hard
womb,hard
sinew,hard
thighs,hard
gut,hard
nape,hard
kidney,hard
jowl,hard
loin,hard
artery,hard
instep,hard
knuckle,hard
gland,hard
eyelash,hard
intestine,hard
pus,hard
tendons,hard
white,hard
black,hard
red,hard
blue,hard
green,hard
gold,hard
grey,hard
brown,hard
silver,hard
yellow,hard
gray,hard
crimson,hard
scarlet,hard
purple,hard
pink,hard
sanguine,hard
orange,hard
ruddy,hard
dun,hard
whiteness,hard
sable,hard
blackness,hard
azure,hard
verdure,hard
tawny,hard
buff,hard
tan,hard
russet,hard
saffron,hard
sapphire,hard
bice,hard
fallow,hard
redness,hard
mignonette,hard
celeste,hard
indigo,hard
chamois,hard
carmine,hard
topaz,hard
castor,hard
ciel,hard
sorrel,hard
nankeen,hard
burnet,hard
aqua,hard
putty,hard
teal,hard
chartreuse,hard
