docid	allcopiesofwork	author	authordate	category	copiesin25yrs	enumcron	firstpub	gender	genres	hathiadvent	imprint	inferreddate	latestcomp	nationality	pseudonym	realname	shorttitle	subjects
mdp.49015000838012	1	Fraser, Peter	1932-	notfiction	1		1971.0	m	Bibliographies|NotFiction	contemporary	Boston|Plays inc.|1971	1971	1971	us			Puppet circus	Puppet theater
mdp.39015063561586	5	Ferrier, Susan	1782-1854.	longfiction	3	v.2	1818.0	f	Bibliographies|Fiction	contemporary	Edinburgh;W. Blackwood and J. Murray;1818.	1818	1818	uk		Ferrier, Susan Edmonstone	Marriage, a novel	English fiction
uc1.$b473613	1	Mann, Erika	1905-1969.	longfiction	1		1940.0	f	NotFiction	contemporary	New York|Toronto|Farrar & Rinehart, inc.|c1940	1940	1940	de		Mann, Erika	The lights go down	Social life and customs
nyp.33433074931597	2	Forrester, Charles Robert	1803-1850.	juvenile	2	v. 2	1843.0	m	NotFiction	contemporary	London;R. Bentley;1843.	1843	1843	uk	Crowquill, Alfred; Willis, Hal	Forrester, Charles Robert	Phantasmagoria of fun	
mdp.39015030126505	1	Roscoe, Thomas (trans.)	1791-1871.	shortfiction	1	v.1	1200.0	m	UnknownGenre	reprint	London;H. Colburn;1826.	1826	1826	uk			Introduction. Reineke Fuchs (Reynard the Fox) numerous authors and editions of it. The pleasant history of Reynard the Fox Flowleglass, the merry jester. Doctor Faustus	
dul1.ark+=13960=t89g6ct7k	2	Edgeworth, Maria	1767-1849.	longfiction	2		1804.0	f	NotFiction	contemporary	London;J. Johnson;1805.	1805	1805	uk			The modern Griselda	
mdp.39015062378909	1	Stork, Charles Wharton (trans.)	1881-1971	shortfiction	1		1923.0	m	Short stories	contemporary	New York|Dutton|c1923.	1923	1923	us			Modern Swedish masterpieces : short stories	Short stories, Swedish|Short stories, English|Translations into English|Translations from Swedish
uc2.ark+=13960=t45q53b1s	3	Knighton, W	d. 1900	notfiction	3	v.1	1854.0	m		contemporary	London;Hurst and Blackett;1854.	1854	1854	uk		Knighton, William	Forest life in Ceylon	Description and travel|Sri Lanka
dul1.ark+=13960=t4vh67297	2	Grafigny	1695-1758	longfiction	2	v.2	1802.0	f		contemporary	Paris;printed for Durand Bookseller;1802.	1802	1802	fr		Graffigny, Mme de (Françoise d'Issembourg d'Happoncourt)	Letters of a Peruvian princess	Utopias
uc2.ark+=13960=t0pr7sq62	14	Thackeray, William Makepeace	1811-1863.	shortfiction	1	v.03	1855.0	m	Fiction|ContainsBiogMaterial|NotFiction	contemporary	London;Bradbury & Evans;1855-1857.	1855	1855	uk			The memoirs of Barry Lyndon, Esq. A legend of the Rhine. Rebecca and Rowena. A little dinner at Timmins's. The Bedford-Row conspiracy	English literature
mdp.39015061469139	2	Candelaria, Nash	(1928)-	longfiction	2		1977.0	m	Novel|Fiction	contemporary	Tempe, AZ|Bilingual Press|1987, c1977.	1977	1977	us			Memories of the Alhambra	Social life and customs|Mexican Americans|Fiction
uc1.$b746092	1	Andersen, Hartvig		notfiction	1		1954.0	m	NotFiction	contemporary	New York|Rinehart|1954	1954	1954	de			The dark city; a true account of adventures of a secret agent in Berlin, as told to Hartvig Andersen	Secret service|United States|Germany|Berlin|World War, 1939-1945
nyp.33433081652574	2	Fraser, James Baillie	1783-1856.	notfiction	2	v.1	1838.0	m	NotFiction	contemporary	London;R. Bentley;1838.	1838	1838	uk			Narrative of the residence of the Persian princes in London, in 1835 and 1836. With an account of their journey from Persia, and subsequent adventures	Prices|Social life and customs|Description and travel
uc1.$b301045	1	Kent, Louise Andrews	1886-1969.	longfiction	1		1945.0	f	Fiction	contemporary	Boston|Houghton Mifflin|c1945	1945	1945	us			Country mouse	
nyp.33433074856836	1	Gibbon, Muriel Morgan		longfiction	1		1921.0	f	NotFiction	contemporary	Garden City, N.Y.;Toronto;Doubleday, Page & Company;1921.	1921	1921	uk			The alternative	
pst.000005752546	1	Stewart, Elizabeth Grey	1914-	longfiction	1		1961.0	f	NotFiction	contemporary	New York|Putnam|1961].	1961	1961	us			Young man of the year : a novel	
uc1.32106009522654	1	Humphreys, Emyr	b. 1919	longfiction	1		1991.0	m	Fiction	contemporary	London|Macdonald|1991.	1991	1991	uk			Bonds of attachment	Parry, Amy (Fictitious character)|Women|Widows|Fiction|Older women|Death|Fathers|Mothers and sons|Wales
uc1.b248787	2	Eggleston, Edward	1837-1902.	juvenile	2		1870.0	m		contemporary	Chicago [Ill.;Adams, Blackmer, & Lyon Publishing Co.;1872.	1872	1870	us			Mr. Blake's walking stick	Christmas stories
mdp.39015060836171	1	Escandón, María Amparo	b. 1957	longfiction	1		2005.0	f	Domestic fiction|Novel|Psychological fiction	contemporary	New York|Three Rivers Press|c2005.	2005	2005	me			González and Daughter Trucking Co. : a road novel with literary license	Fiction|Women prisoners|Trucking|Fathers and daughters
uc1.$b101946	2	Hedden, Worth Tuttle	1918-1985	longfiction	2		1952.0	f	NotFiction	contemporary	New York|Crown Publishers|1952	1952	1952	us			Love is a wound	
mdp.39015033493647	1	Simenon, Georges	1903-1989.	longfiction	1		1967.0	m	Fiction	contemporary	New York|Harcourt Brace Jovanovich|1977] c1967.	1977	1967	be			Monsieur Monde vanishes	
nyp.33433081963146	1	Wade, Mary Hazelton Blanchard	1860-1936.	juvenile	1		1904.0	f	NotFiction	contemporary	Boston;Chicago;W. A. Wilde company;c1904	1904	1904	us			Ten little Indians; stories of how Indian children lived and played	Indian children|North America
nyp.33433076025943	1	Smith, John Hyatt	1824-1886.	longfiction	1		1874.0	m	Fiction	contemporary	Brooklyn;D. S. Holmes;1874.	1874	1874	us			The open door; or, Light and liberty	American fiction
