docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle
nyp.33433074911573	Smith, Charlotte Turner	Smith, Charlotte Turner	1749-1806.	1800	1800	m	1800	1802	London;Printed by and for S. Low;1800-1802.	1800-1802	v. 1.  The story of Edouarda.--v. 2.  The story of Henrietta.--v. 3.  The story of Corisande.--v. 4.  The Hungarian.--v. 5.  The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle.	Fiction	English fiction			7096924.0	enk	1423005	1	1	1	v. 4	4.0	The letters of a solitary wanderer: | containing narratives of various description. | $c: By Charlotte Smith ...	The Hungarian	True	The Hungarian
nyp.33433074911581	Smith, Charlotte Turner	Smith, Charlotte Turner	1749-1806.	1800	1800	m	1800	1802	London;Printed by and for S. Low;1800-1802.	1800-1802	v. 1.  The story of Edouarda.--v. 2.  The story of Henrietta.--v. 3.  The story of Corisande.--v. 4.  The Hungarian.--v. 5.  The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle.	Fiction	English fiction			7096924.0	enk	1423005	1	1	1	v. 5	5.0	The letters of a solitary wanderer: | containing narratives of various description. | $c: By Charlotte Smith ...	The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle	True	The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle
njp.32101037604772	Du Bois, Edward	Du Bois, Edward	1774-1850.	1800	1800	s	1800	    	London;Printed for J. Wright;1800.	1800		Fiction	Godwin, William|1756-1836|St. Leon: a tale of the sixteenth century			11776820.0	enk	9472201	1	1	1			St. Godwin: | a tale of the sixteenth, seventeenth, and eighteenth century. | $c: By Count Reginald de St. Leon [pseud.]		True	St. Godwin: a tale of the sixteenth, seventeenth, and eighteenth century
hvd.hn2he3	Kendall, Edward Augustus	Kendall, Edward Augustus	1776?-1842.	1800	1800	s	1800	    	London;Printed for E. Newbery, the corner of St. Paul's Church-yard, by G. Woodfall, Paternoster-Row;1800.	1800	The fire -- George, or, The best method of finishing a task -- Augustus, or, The blessings of obedience -- Little Zoe -- Little Martin -- Henrietta, the good-natured -- The kite -- Arthur Heedless, a character -- Rashness, or, The stories of the Persian and his dog, and of the king and his hawk -- The spoilt children -- Cecilia Longville -- Little George -- Rodolphus, or, The danger of falsehood -- Leopold -- Good behavior to servants -- The garden -- Charlotte -- The work-bag -- The peaches --	Juvenile audience|Fiction	Conduct of life|Children's stories|Juvenile literature			20808179.0	enk	9712116	1	1	1			The stories of Senex, or, Little histories of little people / | $c: by E.A. Kendal ...		True	The stories of Senex, or, Little histories of little people
hvd.hn2he5				1800	1800	s	1800	    	London;Printed for Vernor and Hood;1800.	1800		Fiction				15735234.0	enk	9711432	1	1	1			The Governess, or, Evening amusements at a boarding school.		True	The Governess, or, Evening amusements at a boarding school
nyp.33433074910278	Moore, John	Moore, John	1729-1802.	1800	1800	s	1800	    	London;Printed for G. G. and J. Robinson;1800.	1800		NotFiction			PR3605.M5M6 1800	3890141.0	enk	670480	1	5	5	v. 2	2.0	Mordaunt. | Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality. | $c: By the author of Zeluco & Edward.		True	Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality
mdp.39015000623663	Kipling, Rudyard	Kipling, Rudyard	1865-1936.	1800	1800	s	1910	    	New York;Manhattan press;1910?	1910		ContainsBiogMaterial|NotFiction|Fiction|UnknownGenre	English fiction			4361636.0	nyu	590775	2	38	2			Plain tales from the hills / | $c: by Rudyard Kipling.		True	Plain tales from the hills
wu.89001048909	Reade, Charles	Reade, Charles	1814-1884.	1800	1800	q	1800	1995	New York|Collier|1902?	1902		NotFiction				9404730.0	nyu	11984679	1	1	1	9	9.0	The works of Charles Reade.		True	The works of Charles Reade
mdp.39015063947199				1800	1800	s	1800	    	Southwark [London;J. Ker;1800?	"<estimate=""[1800?]"">"	The prophetic warning.--Rinaldo and Adeline.	Fiction			PZ3.P9457	7009684.0	enk	243392	1	1	1			The prophetic warning; | or, The castle of Lindendorff. An original romance. | $c: By a young gentleman of note.		True	The prophetic warning; or, The castle of Lindendorff. An original romance
uva.x000099740	Hamilton, Elizabeth	Hamilton, Elizabeth	1756?-1816.	1800	1800	s	1800	    	Bath;Printed by R. Cruttwell for G.G. and J. Robinson, London;1800.	1800		Fiction|NotFiction			PZ3.H183M	5084139.0	enk	8721527	2	14	12	v.2	2.0	Memoirs of modern philosophers.		True	Memoirs of modern philosophers
nyp.33433074911557	Smith, Charlotte Turner	Smith, Charlotte Turner	1749-1806.	1800	1800	m	1800	1802	London;Printed by and for S. Low;1800-1802.	1800-1802	v. 1.  The story of Edouarda.--v. 2.  The story of Henrietta.--v. 3.  The story of Corisande.--v. 4.  The Hungarian.--v. 5.  The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle.	Fiction	English fiction			7096924.0	enk	1423005	1	1	1	v. 2	2.0	The letters of a solitary wanderer: | containing narratives of various description. | $c: By Charlotte Smith ...	The story of Henrietta	True	The story of Henrietta
njp.32101068142080	Linley, W. (William)	Linley, W. (William)	1771?-1835.	1800	1800	s	1800	    	London;W. Lane;1800.	1800		NotFiction				27533678.0	enk	8967445	1	2	2	v.2	2.0	Forbidden apartments : | a tale.		True	Forbidden apartments : a tale
mdp.39015063931862				1800	1800	s	1800	    	London;Printed and sold by Sabine and son;1800?	"<estimate=""[1800?]"">"		Fiction				66290978.0	enk	449707	1	1	1			The history of Zoa, | the beautiful Indian, daughter of Henrietta de Bellgrave; and of Rodomond ... | $c: To which is added the memoirs of Lucy Harris, a foundling, who, at sixteen years of age, was discovered to be daughter to the Countess of B-- --. A true story.		True	The history of Zoa, the beautiful Indian, daughter of Henrietta de Bellgrave; and of Rodomond
hvd.hwkd6m	Le Maistre, John Gustavus	Le Maistre, John Gustavus	d. 1840.	1801	1801	s	1801	    	Cork;Connor;1801.	1801		NotFiction				13404004.0	ie 	9708463	1	1	1			Frederic Latimer; or, The history of a young man of fashion.		True	Frederic Latimer; or, The history of a young man of fashion
